epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
128,85387.9,1.03901,0.54991,0.01574,0.92076,0.84263,0.92125,0.75059,0.68314,0.40275,0.01988,0.00621305,0.00207102,0.00621305,0.00207102,0.00621305,0.00207102,0.00621305,0.00207102
129,86061.1,1.02339,0.54356,0.01527,0.92266,0.84191,0.92218,0.75087,0.68333,0.40457,0.01985,0.00600743,0.00200248,0.00600743,0.00200248,0.00600743,0.00200248,0.00600743,0.00200248
130,86733.5,1.02211,0.53711,0.01511,0.92053,0.84246,0.92193,0.75125,0.68244,0.40434,0.01982,0.00580459,0.00193486,0.00580459,0.00193486,0.00580459,0.00193486,0.00580459,0.00193486
131,87399.9,1.01207,0.53343,0.01537,0.92211,0.84075,0.92123,0.75007,0.68235,0.40632,0.01982,0.0056046,0.0018682,0.0056046,0.0018682,0.0056046,0.0018682,0.0056046,0.0018682
132,88070.8,1.0145,0.52021,0.0153,0.91799,0.84048,0.92202,0.74956,0.68119,0.40748,0.0198,0.00540752,0.00180251,0.00540752,0.00180251,0.00540752,0.00180251,0.00540752,0.00180251
133,88741.5,1.01536,0.52682,0.01518,0.91952,0.839,0.92221,0.74912,0.68122,0.41052,0.01979,0.00521341,0.0017378,0.00521341,0.0017378,0.00521341,0.0017378,0.00521341,0.0017378
134,89414.2,1.0047,0.51763,0.01513,0.91822,0.84004,0.92059,0.74762,0.68166,0.40422,0.01981,0.00502232,0.00167411,0.00502232,0.00167411,0.00502232,0.00167411,0.00502232,0.00167411
135,90084.8,0.9987,0.51937,0.01488,0.87766,0.87746,0.92085,0.74815,0.68072,0.40516,0.01978,0.00483432,0.00161144,0.00483432,0.00161144,0.00483432,0.00161144,0.00483432,0.00161144
136,90757.7,1.00719,0.51549,0.01519,0.87946,0.87748,0.92193,0.74944,0.68059,0.40277,0.01978,0.00464946,0.00154982,0.00464946,0.00154982,0.00464946,0.00154982,0.00464946,0.00154982
137,91430.7,0.99671,0.51516,0.01471,0.91485,0.83703,0.92037,0.74774,0.68013,0.40747,0.01976,0.0044678,0.00148927,0.0044678,0.00148927,0.0044678,0.00148927,0.0044678,0.00148927
138,92104.4,0.99134,0.51599,0.0149,0.91564,0.8404,0.92086,0.74712,0.68042,0.40747,0.01975,0.0042894,0.0014298,0.0042894,0.0014298,0.0042894,0.0014298,0.0042894,0.0014298
139,92774.2,0.9961,0.51483,0.01485,0.91798,0.83879,0.92174,0.7484,0.6796,0.40434,0.01972,0.0041143,0.00137143,0.0041143,0.00137143,0.0041143,0.00137143,0.0041143,0.00137143
140,93444.6,0.99195,0.51182,0.01483,0.91626,0.84232,0.92185,0.74842,0.67812,0.40011,0.01967,0.00394256,0.00131419,0.00394256,0.00131419,0.00394256,0.00131419,0.00394256,0.00131419
141,94116.8,0.98531,0.50477,0.01467,0.91774,0.84184,0.92178,0.74993,0.67773,0.39963,0.01965,0.00377424,0.00125808,0.00377424,0.00125808,0.00377424,0.00125808,0.00377424,0.00125808
142,94790.3,0.98502,0.50715,0.01459,0.91447,0.84232,0.92177,0.75006,0.67862,0.40151,0.01967,0.00360938,0.00120313,0.00360938,0.00120313,0.00360938,0.00120313,0.00360938,0.00120313
143,95463.8,0.97645,0.50011,0.01466,0.88255,0.86709,0.92139,0.74968,0.67764,0.40752,0.01964,0.00344804,0.00114935,0.00344804,0.00114935,0.00344804,0.00114935,0.00344804,0.00114935
144,96134.8,0.97251,0.51327,0.01452,0.87965,0.86809,0.92118,0.74981,0.67573,0.40602,0.01957,0.00329026,0.00109675,0.00329026,0.00109675,0.00329026,0.00109675,0.00329026,0.00109675
145,96805.6,0.9805,0.50745,0.01472,0.87197,0.87456,0.92093,0.75013,0.6758,0.40311,0.01958,0.0031361,0.00104537,0.0031361,0.00104537,0.0031361,0.00104537,0.0031361,0.00104537
146,97474.5,0.97827,0.50442,0.01454,0.87522,0.87456,0.92099,0.75043,0.67574,0.4021,0.01955,0.00298559,0.000995197,0.00298559,0.000995197,0.00298559,0.000995197,0.00298559,0.000995197
147,98145.5,0.97489,0.50287,0.01451,0.90923,0.84583,0.92112,0.75084,0.67542,0.39962,0.01954,0.00283879,0.000946264,0.00283879,0.000946264,0.00283879,0.000946264,0.00283879,0.000946264
148,98816.6,0.96792,0.51031,0.01448,0.87978,0.87868,0.92135,0.75083,0.67463,0.39759,0.01952,0.00269574,0.000898581,0.00269574,0.000898581,0.00269574,0.000898581,0.00269574,0.000898581
149,99492.3,0.97086,0.49547,0.0143,0.91052,0.84642,0.92105,0.75066,0.67425,0.39812,0.01951,0.00255649,0.000852162,0.00255649,0.000852162,0.00255649,0.000852162,0.00255649,0.000852162
150,100165,0.95893,0.49501,0.01408,0.88064,0.87672,0.9218,0.75123,0.67381,0.39768,0.01949,0.00242107,0.000807022,0.00242107,0.000807022,0.00242107,0.000807022,0.00242107,0.000807022
151,100837,0.96681,0.48951,0.01423,0.8806,0.86703,0.92096,0.75149,0.67343,0.39791,0.01947,0.00228952,0.000763174,0.00228952,0.000763174,0.00228952,0.000763174,0.00228952,0.000763174
152,101506,0.95706,0.48685,0.01434,0.88332,0.86682,0.92112,0.75264,0.67264,0.39586,0.01944,0.0021619,0.000720632,0.0021619,0.000720632,0.0021619,0.000720632,0.0021619,0.000720632
153,102173,0.96213,0.49851,0.01423,0.88652,0.8683,0.92096,0.75289,0.67302,0.39655,0.01945,0.00203823,0.000679409,0.00203823,0.000679409,0.00203823,0.000679409,0.00203823,0.000679409
154,102845,0.96466,0.48816,0.01413,0.88803,0.8685,0.92069,0.75273,0.67342,0.39656,0.01945,0.00191855,0.000639518,0.00191855,0.000639518,0.00191855,0.000639518,0.00191855,0.000639518
155,103515,0.95371,0.48196,0.0141,0.9041,0.85006,0.92016,0.75185,0.67101,0.40628,0.0194,0.00180291,0.000600969,0.00180291,0.000600969,0.00180291,0.000600969,0.00180291,0.000600969
156,104185,0.95655,0.48336,0.01418,0.88194,0.86897,0.92012,0.75078,0.67247,0.40324,0.01944,0.00169133,0.000563776,0.00169133,0.000563776,0.00169133,0.000563776,0.00169133,0.000563776
157,104855,0.9553,0.48919,0.01414,0.91602,0.84182,0.92062,0.75178,0.67218,0.40268,0.01944,0.00158385,0.00052795,0.00158385,0.00052795,0.00158385,0.00052795,0.00158385,0.00052795
158,105527,0.95536,0.48857,0.01417,0.91757,0.84171,0.92087,0.75365,0.67235,0.40132,0.01944,0.0014805,0.000493501,0.0014805,0.000493501,0.0014805,0.000493501,0.0014805,0.000493501
159,106201,0.95044,0.47901,0.01392,0.91388,0.83801,0.91972,0.75423,0.67181,0.40013,0.01945,0.00138132,0.00046044,0.00138132,0.00046044,0.00138132,0.00046044,0.00138132,0.00046044
160,106871,0.94601,0.48058,0.01403,0.91493,0.84463,0.91988,0.75489,0.67147,0.40097,0.01945,0.00128633,0.000428777,0.00128633,0.000428777,0.00128633,0.000428777,0.00128633,0.000428777
161,107544,0.80933,0.30151,0.01482,0.90615,0.84791,0.92058,0.75517,0.67116,0.40183,0.01943,0.00119556,0.000398522,0.00119556,0.000398522,0.00119556,0.000398522,0.00119556,0.000398522
162,108210,0.80355,0.30776,0.01472,0.8873,0.86897,0.92131,0.75551,0.67088,0.39847,0.01943,0.00110905,0.000369683,0.00110905,0.000369683,0.00110905,0.000369683,0.00110905,0.000369683
163,108872,0.80566,0.30511,0.01456,0.88665,0.86997,0.92106,0.75555,0.66876,0.40138,0.01939,0.00102681,0.00034227,0.00102681,0.00034227,0.00102681,0.00034227,0.00102681,0.00034227
164,109535,0.79594,0.30528,0.01458,0.90792,0.84996,0.92085,0.75442,0.6692,0.40277,0.0194,0.000948874,0.000316291,0.000948874,0.000316291,0.000948874,0.000316291,0.000948874,0.000316291
165,110196,0.7873,0.30249,0.01431,0.90707,0.84791,0.92044,0.75435,0.66872,0.40286,0.01938,0.000875264,0.000291755,0.000875264,0.000291755,0.000875264,0.000291755,0.000875264,0.000291755
166,110857,0.79542,0.29977,0.01435,0.90758,0.84775,0.91972,0.75401,0.66831,0.40574,0.01937,0.000806001,0.000268667,0.000806001,0.000268667,0.000806001,0.000268667,0.000806001,0.000268667
167,111523,0.79747,0.29419,0.01444,0.90693,0.84663,0.91876,0.75393,0.66797,0.40859,0.01935,0.000741108,0.000247036,0.000741108,0.000247036,0.000741108,0.000247036,0.000741108,0.000247036
168,112182,0.79538,0.30211,0.01461,0.91273,0.84779,0.9199,0.75515,0.66754,0.40483,0.01933,0.000680605,0.000226868,0.000680605,0.000226868,0.000680605,0.000226868,0.000680605,0.000226868
169,112849,0.78688,0.29902,0.01437,0.91012,0.84713,0.92009,0.75493,0.66729,0.40257,0.01932,0.000624508,0.000208169,0.000624508,0.000208169,0.000624508,0.000208169,0.000624508,0.000208169
170,113513,0.7898,0.29728,0.01438,0.90606,0.84575,0.91877,0.75282,0.66681,0.40728,0.01932,0.000572836,0.000190945,0.000572836,0.000190945,0.000572836,0.000190945,0.000572836,0.000190945
171,114176,0.77954,0.29051,0.01398,0.888,0.86498,0.91933,0.75414,0.66733,0.40673,0.01933,0.000525605,0.000175202,0.000525605,0.000175202,0.000525605,0.000175202,0.000525605,0.000175202
172,114836,0.79515,0.29662,0.0143,0.88868,0.86684,0.92089,0.75465,0.66758,0.40485,0.01933,0.000482828,0.000160943,0.000482828,0.000160943,0.000482828,0.000160943,0.000482828,0.000160943
173,115501,0.78191,0.29324,0.01414,0.89207,0.85884,0.92076,0.7553,0.66807,0.4062,0.01933,0.000444519,0.000148173,0.000444519,0.000148173,0.000444519,0.000148173,0.000444519,0.000148173
174,116163,0.78115,0.29188,0.01419,0.90947,0.84782,0.92067,0.75483,0.66683,0.40604,0.01929,0.00041069,0.000136897,0.00041069,0.000136897,0.00041069,0.000136897,0.00041069,0.000136897
175,116826,0.77958,0.29176,0.01399,0.89394,0.86138,0.92064,0.755,0.66671,0.40501,0.01929,0.00038135,0.000127117,0.00038135,0.000127117,0.00038135,0.000127117,0.00038135,0.000127117
176,117489,0.78278,0.29493,0.01414,0.91004,0.85094,0.92054,0.75549,0.666,0.40633,0.01925,0.000356509,0.000118836,0.000356509,0.000118836,0.000356509,0.000118836,0.000356509,0.000118836
177,118151,0.7755,0.28592,0.01397,0.90831,0.84882,0.91994,0.75463,0.6656,0.40814,0.01924,0.000336174,0.000112058,0.000336174,0.000112058,0.000336174,0.000112058,0.000336174,0.000112058
178,118814,0.78123,0.29145,0.01394,0.90075,0.85258,0.91922,0.75411,0.66535,0.40755,0.01922,0.000320351,0.000106784,0.000320351,0.000106784,0.000320351,0.000106784,0.000320351,0.000106784
179,119478,0.77843,0.29229,0.01405,0.9037,0.84816,0.91883,0.75434,0.66502,0.4109,0.01921,0.000309046,0.000103015,0.000309046,0.000103015,0.000309046,0.000103015,0.000309046,0.000103015
180,120143,0.77885,0.29453,0.01406,0.90737,0.84525,0.91878,0.75482,0.66435,0.41154,0.0192,0.000302262,0.000100754,0.000302262,0.000100754,0.000302262,0.000100754,0.000302262,0.000100754
